index,ms
0,11.501
1,27.333
2,6.444
3,26.260
4,9.593
5,22.733
6,11.032
7,10.854
8,9.739
9,16.887
10,11.794
11,12.013
12,10.205
13,19.884
14,11.277
15,11.634
16,18.006
17,10.035
18,18.836
19,10.107
20,10.369
21,29.998
22,11.144
23,32.075
24,23.749
25,11.540
26,23.500
27,11.913
28,22.991
29,12.530
30,12.811
31,13.373
32,11.657
33,12.626
34,23.878
35,10.817
36,20.679
37,17.719
38,10.913
39,18.984
40,10.147
41,18.638
42,9.888
43,21.309
44,20.853
45,21.440
46,11.629
47,12.565
48,33.202
49,20.942
50,22.530
51,12.949
52,14.057
53,24.636
54,14.145
55,20.555
56,10.535
57,18.344
58,10.216
59,13.611
60,10.379
61,18.329
62,11.252
63,21.647
64,13.888
65,12.391
66,12.888
67,12.038
68,25.481
69,11.835
70,20.932
71,16.903
72,12.411
73,24.526
74,12.040
75,21.404
76,11.681
77,29.368
78,17.998
79,10.867
80,6.450
81,8.104
82,9.393
83,15.110
84,18.990
85,18.353
86,16.925
87,10.037
88,10.682
89,25.531
90,29.689
91,13.234
92,13.245
93,13.541
94,13.718
95,24.109
96,13.683
97,14.176
98,24.702
99,11.539
100,19.611
101,10.977
102,22.122
103,30.146
104,11.598
105,24.214
106,27.272
107,22.492
108,18.163
109,15.970
110,9.663
111,15.311
112,10.055
113,17.219
114,10.558
115,9.377
116,15.635
117,17.700
118,9.769
119,16.062
120,9.887
121,17.495
122,10.450
123,17.907
124,9.959
125,26.807
126,10.143
127,17.425
128,9.882
129,8.835
130,22.787
131,9.774
132,26.271
133,10.165
134,26.314
135,22.239
136,14.404
137,6.426
138,17.507
139,21.882
140,20.856
141,11.747
142,13.293
143,11.253
144,19.756
145,11.091
146,20.607
147,13.256
148,25.354
149,11.126
150,10.833
151,11.033
152,10.704
153,17.968
154,8.387
155,19.722
156,19.459
157,24.503
158,18.811
159,11.154
160,18.186
161,18.047
162,19.828
163,10.315
164,10.939
165,10.367
166,10.484
167,19.551
168,14.803
169,13.615
170,9.182
171,16.722
172,9.257
173,9.771
174,9.962
175,7.170
176,10.838
177,6.005
178,6.958
179,8.184
180,8.232
181,14.474
182,7.664
183,14.788
184,13.534
185,11.098
186,9.216
187,18.414
188,17.749
189,10.244
190,12.148
191,14.530
192,23.590
193,14.025
194,22.817
195,23.508
196,11.071
197,8.671
198,16.181
199,8.814
200,14.999
201,10.867
202,25.198
203,13.085
204,17.096
205,16.267
206,11.785
207,7.576
208,8.088
209,7.804
210,17.398
211,11.520
212,22.040
213,11.902
214,19.194
215,10.843
216,9.982
217,10.132
218,26.365
219,12.613
220,14.592
221,13.175
222,21.481
