index,ms
0,13.897
1,34.928
2,20.175
3,41.773
4,20.136
5,27.789
6,14.057
7,14.013
8,20.322
9,27.807
10,20.157
11,20.017
12,13.935
13,20.961
14,13.928
15,20.448
16,21.009
17,14.066
18,20.912
19,13.909
20,13.879
21,34.146
22,20.410
23,34.826
24,27.500
25,13.890
26,27.054
27,14.001
28,20.742
29,20.146
30,13.995
31,20.341
32,13.835
33,20.296
34,27.828
35,20.130
36,27.062
37,20.774
38,13.849
39,27.069
40,20.096
41,20.751
42,13.822
43,27.481
44,27.802
45,27.095
46,13.816
47,13.877
48,33.669
49,20.942
50,20.986
51,13.821
52,14.014
53,20.713
54,13.961
55,27.106
56,20.063
57,20.865
58,13.939
59,14.057
60,20.095
61,20.719
62,20.368
63,27.050
64,20.481
65,20.345
66,13.991
67,13.907
68,27.069
69,14.059
70,20.949
71,20.804
72,14.012
73,20.922
74,13.870
75,26.729
76,20.423
77,33.735
78,20.782
79,13.850
80,14.058
81,14.039
82,20.351
83,20.740
84,27.770
85,20.746
86,20.747
87,13.904
88,20.421
89,20.775
90,27.756
91,13.857
92,13.992
93,14.001
94,20.210
95,21.058
96,14.013
97,20.137
98,20.716
99,13.867
100,26.754
101,14.005
102,27.129
103,34.851
104,20.111
105,26.731
106,26.681
107,20.837
108,27.817
109,26.719
110,20.199
111,20.948
112,20.413
113,20.748
114,20.412
115,20.118
116,20.734
117,20.790
118,20.366
119,20.675
120,20.301
121,27.115
122,20.403
123,20.923
124,13.890
125,34.025
126,20.143
127,27.028
128,20.107
129,13.835
130,34.078
131,20.285
132,33.628
133,13.881
134,27.500
135,26.734
136,20.770
137,13.934
138,26.706
139,26.741
140,20.969
141,14.027
142,20.412
143,14.075
144,26.749
145,13.897
146,20.946
147,14.022
148,27.422
149,13.851
150,13.913
151,20.348
152,20.064
153,27.414
154,20.088
155,27.880
156,26.736
157,34.985
158,21.033
159,20.352
160,20.841
161,27.092
162,27.166
163,14.011
164,20.390
165,14.018
166,14.011
167,20.712
168,20.714
169,20.925
170,14.065
171,20.962
172,13.876
173,20.320
174,20.124
175,20.139
176,20.751
177,13.840
178,13.908
179,20.075
180,20.381
181,20.696
182,13.903
183,26.738
184,20.754
185,20.358
186,13.851
187,20.926
188,20.924
189,14.010
190,20.067
191,20.351
192,20.948
193,20.360
194,20.977
195,20.740
196,20.391
197,20.373
198,20.974
199,14.067
200,20.926
201,20.884
202,48.624
203,20.775
204,20.713
205,20.914
206,27.128
207,20.356
208,20.316
209,14.030
210,26.696
211,13.924
212,27.818
213,20.391
214,27.483
215,14.073
216,14.050
217,14.038
218,26.682
219,20.120
220,20.340
221,13.858
222,26.672
223,26.716
224,20.724
225,20.712
226,21.060
227,26.771
228,20.121
229,20.760
230,13.887
231,20.183
232,20.109
233,20.783
234,20.345
235,34.855
236,20.385
237,34.524
238,20.457
239,14.030
240,20.933
241,13.891
242,27.477
243,20.966
244,27.030
245,27.508
246,14.012
247,20.784
248,27.768
249,21.018
250,26.809
251,20.287
252,20.200
253,21.050
254,13.922
255,21.053
256,20.126
257,27.469
258,20.737
259,20.130
260,27.519
261,20.400
262,26.755
263,33.701
264,20.186
265,20.439
266,20.705
267,20.417
268,14.060
269,26.747
270,26.733
271,21.021
272,14.072
273,20.769
274,13.851
275,21.029
276,20.737
277,20.646
278,20.158
279,20.764
280,20.390
281,26.742
282,20.384
283,20.093
284,26.763
285,20.422
286,20.374
287,20.763
288,26.692
289,20.959
290,20.385
291,26.746
292,20.123
293,13.884
294,20.946
295,20.400
296,20.738
297,20.172
298,14.030
299,21.030
300,20.376
301,20.446
302,20.393
303,21.057
304,20.692
305,13.976
306,27.943
307,20.252
308,21.017
309,20.851
310,20.851
311,20.981
312,14.070
313,27.414
314,20.425
315,20.767
316,20.122
317,20.063
318,20.146
319,14.042
320,20.670
321,20.379
322,14.035
323,20.911
324,27.490
325,20.070
326,20.725
327,20.753
328,20.807
329,20.730
330,20.977
331,34.111
332,21.031
333,33.747
334,26.754
335,21.040
336,27.471
337,14.044
338,20.791
339,20.427
340,20.993
341,20.998
342,20.032
343,20.743
344,26.780
345,20.095
346,20.504
347,20.171
348,20.768
349,20.687
350,20.668
351,13.916
352,20.771
353,26.750
354,20.325
355,13.866
356,20.383
357,20.112
358,27.032
359,20.116
360,20.046
361,20.801
362,27.833
363,13.916
364,20.113
365,21.112
366,20.996
367,13.915
368,20.035
369,20.428
370,26.780
371,13.937
372,20.105
373,20.736
374,64.583
375,20.136
376,13.948
377,13.876
378,20.753
379,316.806
380,20.109
381,25.838
382,224.760
383,25.917
384,20.294
385,25.678
386,196.382
387,28.553
388,20.448
389,25.796
390,297.659
391,23.304
392,20.100
393,26.387
394,14.180
395,13.814
396,20.455
397,193.257
398,31.179
399,26.531
400,44.753
401,13.815
402,20.426
403,195.714
404,44.067
405,37.909
406,15.477
407,21.098
408,64.445
409,14.115
410,20.821
411,49.392
412,20.852
413,20.822
414,14.055
415,27.041
416,14.064
417,27.120
418,14.071
419,27.082
420,14.090
421,14.071
422,20.380
423,14.047
424,20.398
425,26.748
426,21.017
427,14.057
428,27.112
429,14.038
430,26.764
431,14.084
432,14.101
433,14.029
434,20.771
435,13.988
436,26.755
437,13.991
438,20.396
439,33.708
440,27.046
441,20.951
442,20.197
443,14.048
444,20.386
445,27.039
446,27.463
447,20.998
448,20.108
449,26.800
450,13.916
451,13.850
452,27.087
453,20.726
454,13.939
455,14.028
456,13.902
457,20.392
458,26.753
459,33.625
460,14.021
461,20.839
462,20.765
463,20.429
464,26.722
465,14.013
466,27.427
467,21.087
468,34.499
469,14.051
470,21.107
471,27.056
472,41.825
473,20.131
474,20.786
475,13.851
476,26.761
477,34.816
478,14.047
479,20.915
480,20.072
481,26.732
482,33.594
483,20.099
484,20.735
485,14.037
486,26.702
487,20.739
488,20.350
489,20.791
490,20.090
491,26.980
492,20.467
493,20.102
494,26.666
495,33.645
496,20.999
497,26.743
498,13.927
499,20.347
500,27.817
501,26.737
502,26.664
503,27.858
504,20.681
505,14.042
506,34.500
507,13.898
508,27.052
509,20.106
510,20.151
511,27.747
512,13.899
513,21.052
514,20.102
515,33.764
516,20.308
517,27.538
518,20.384
519,27.160
520,20.117
521,20.396
522,13.873
523,20.951
524,20.752
525,20.734
526,20.408
527,20.355
528,20.976
529,20.187
530,14.049
531,20.817
532,14.035
533,13.827
534,26.692
535,14.007
536,20.758
537,20.997
538,27.067
539,27.479
540,20.413
541,26.678
542,14.028
543,27.052
544,20.944
545,20.360
546,27.058
547,20.129
548,26.706
549,26.760
550,20.421
551,27.375
552,14.083
553,26.739
554,20.684
555,20.359
556,20.776
557,20.766
558,21.046
559,21.008
560,27.040
561,20.676
562,20.733
563,20.410
564,20.674
565,14.071
566,20.721
567,20.709
568,20.360
569,14.046
570,13.887
571,20.731
572,20.722
573,14.016
574,20.776
575,27.019
576,21.018
577,20.716
578,20.728
579,27.051
580,20.722
581,20.741
582,20.963
583,27.089
584,27.039
585,20.097
586,26.982
587,20.725
588,20.747
589,20.149
590,20.767
591,20.141
592,20.937
593,20.383
594,20.949
595,20.475
596,20.698
597,14.030
598,20.408
599,20.161
600,20.100
601,27.035
602,13.953
603,27.471
604,27.096
605,20.940
606,27.065
607,27.869
608,20.784
609,33.668
610,20.708
611,34.116
612,20.756
613,27.003
614,20.662
615,27.413
616,20.952
617,33.659
618,27.064
619,27.074
620,20.758
621,21.011
622,26.752
623,20.715
624,26.966
625,20.166
626,20.316
627,20.105
628,20.752
629,20.742
630,20.418
631,26.994
632,27.085
633,20.751
634,20.721
