index,ms
0,13.888
1,34.126
2,19.827
3,40.711
4,19.778
5,27.189
6,13.879
7,13.887
8,19.973
9,27.179
10,19.663
11,19.725
12,13.826
13,20.551
14,13.839
15,19.941
16,20.631
17,13.942
18,20.473
19,13.831
20,13.760
21,33.212
22,20.005
23,34.164
24,26.908
25,13.726
26,26.540
27,13.912
28,20.281
29,19.698
30,13.929
31,20.012
32,13.736
33,19.995
34,27.268
35,19.702
36,26.515
37,20.341
38,13.806
39,26.542
40,19.547
41,20.323
42,13.766
43,26.917
44,27.093
45,26.486
46,13.768
47,13.767
48,32.991
49,20.568
50,20.524
51,13.805
52,13.929
53,20.363
54,13.931
55,26.496
56,19.726
57,20.602
58,14.831
59,13.925
60,19.580
61,20.303
62,19.928
63,26.417
64,19.938
65,19.886
66,13.942
67,13.802
68,26.467
69,13.932
70,20.503
71,20.283
72,13.826
73,20.461
74,13.783
75,26.147
76,19.879
77,32.858
78,20.318
79,13.777
80,13.848
81,13.925
82,19.919
83,20.300
84,27.225
85,20.262
86,20.334
87,13.812
88,19.968
89,20.332
90,27.152
91,13.823
92,13.985
93,13.869
94,19.690
95,20.539
96,13.968
97,19.697
98,20.266
99,13.850
100,26.223
101,13.961
102,26.555
103,34.155
104,19.768
105,26.182
106,26.161
107,20.522
108,27.206
109,26.090
110,19.593
111,20.559
112,20.077
113,20.346
114,19.984
115,19.680
116,20.348
117,20.338
118,19.931
119,20.254
120,19.970
121,26.426
122,19.974
123,20.550
124,13.795
125,33.254
126,19.688
127,26.488
128,19.623
129,13.760
130,33.255
131,19.917
132,32.817
133,13.738
134,26.926
135,26.065
136,20.324
137,13.819
138,26.134
139,26.171
140,20.563
141,13.906
142,19.886
143,13.995
144,26.106
145,13.784
146,20.599
147,13.945
148,26.817
149,13.829
150,13.755
151,19.888
152,19.701
153,26.845
154,19.636
155,27.186
156,33.321
157,34.043
158,20.626
159,19.993
160,20.313
161,26.415
162,26.488
163,13.855
164,20.012
165,13.937
166,13.878
167,20.358
168,20.336
169,20.608
170,13.938
171,20.444
172,13.756
173,19.934
174,19.697
175,19.669
176,20.252
177,13.777
178,13.760
179,19.745
180,19.928
181,20.299
182,13.794
183,26.161
184,20.313
185,20.067
186,13.796
187,20.486
188,20.423
189,13.901
190,19.627
191,19.922
192,20.498
193,19.907
194,20.440
195,20.232
196,19.900
197,19.989
198,20.564
199,14.014
200,20.588
201,20.599
202,47.031
203,20.467
204,20.533
205,20.718
206,26.573
207,20.003
208,20.080
209,13.990
210,26.274
211,13.760
212,27.251
213,19.971
214,26.866
215,13.936
216,13.933
217,13.914
218,26.179
219,19.739
220,19.950
221,13.769
222,26.190
223,26.138
224,20.348
225,20.307
226,20.529
227,26.239
228,19.723
229,20.307
230,13.787
231,19.650
232,19.721
233,20.313
234,19.944
235,34.100
236,19.993
237,33.666
238,19.951
239,13.939
240,20.566
241,13.800
242,26.801
243,20.582
244,26.454
245,26.931
246,13.912
247,20.321
248,27.247
249,20.517
250,26.106
251,19.958
252,19.711
253,20.541
254,21.667
255,20.601
256,19.700
257,26.877
258,20.253
259,19.678
260,26.904
261,20.008
262,26.166
263,32.970
264,19.658
265,19.978
266,20.265
267,19.908
268,13.912
269,26.051
270,26.117
271,20.596
272,13.899
273,20.372
274,13.751
275,20.562
276,20.324
277,20.253
278,19.650
279,20.323
280,19.947
281,26.101
282,20.006
283,19.674
284,26.182
285,19.991
286,19.967
287,20.408
288,26.098
289,20.561
290,19.977
291,26.226
292,19.748
293,13.786
294,20.565
295,19.954
296,20.281
297,19.720
298,13.856
299,20.404
300,20.009
301,19.981
302,19.917
303,20.534
304,20.343
305,13.813
306,27.165
307,19.688
308,20.503
309,20.343
310,20.257
311,20.506
312,13.957
313,26.880
314,19.952
315,20.305
316,19.715
317,19.724
318,19.718
319,13.910
320,20.265
321,19.949
322,13.952
323,20.537
324,26.793
325,19.626
326,20.284
327,20.229
328,20.276
329,20.354
330,20.566
331,33.195
332,20.487
333,32.910
334,26.175
335,20.549
336,26.812
337,13.951
338,20.272
339,20.018
340,20.590
341,20.623
342,19.719
343,20.332
344,26.237
345,19.760
346,19.948
347,19.691
348,20.341
349,20.308
350,28.524
351,14.438
352,20.415
353,26.142
354,19.973
355,13.770
356,19.922
357,19.723
358,26.523
359,19.601
360,19.699
361,20.288
362,27.210
363,13.762
364,19.663
365,20.545
366,20.491
367,13.781
368,19.714
369,19.918
370,26.203
371,13.760
372,19.686
373,20.271
374,62.953
375,19.726
376,13.800
377,13.802
378,20.300
379,306.185
380,18.453
381,27.701
382,199.888
383,37.725
384,29.276
385,29.518
386,186.777
387,25.468
388,19.410
389,25.650
390,289.964
391,31.549
392,25.247
393,29.367
394,13.994
395,13.863
396,20.373
397,175.589
398,44.384
399,30.150
400,45.855
401,14.053
402,20.826
403,171.687
404,43.833
405,44.792
406,16.742
407,22.573
408,63.489
409,13.842
410,20.224
411,47.840
412,20.154
413,20.042
414,13.800
415,26.328
416,13.870
417,26.339
418,13.858
419,26.335
420,13.770
421,13.839
422,19.849
423,13.790
424,19.783
425,26.000
426,20.246
427,13.777
428,26.307
429,13.765
430,25.985
431,13.797
432,13.801
433,13.796
434,20.194
435,13.826
436,25.977
437,13.829
438,19.825
439,32.727
440,26.291
441,20.383
442,19.554
443,13.783
444,19.791
445,26.323
446,26.723
447,20.397
448,19.555
449,25.969
450,13.680
451,13.621
452,26.310
453,20.130
454,13.759
455,13.814
456,13.655
457,19.782
458,25.953
459,32.784
460,13.751
461,20.137
462,20.137
463,19.804
464,25.900
465,13.719
466,26.707
467,20.467
468,33.556
469,13.831
470,20.390
471,26.275
472,40.610
473,19.469
474,20.004
475,13.590
476,25.987
477,35.092
478,13.758
479,20.410
480,19.473
481,25.980
482,32.768
483,19.568
484,20.111
485,13.816
486,25.954
487,20.114
488,19.800
489,20.141
490,19.577
491,26.330
492,19.800
493,19.563
494,25.972
495,32.735
496,20.390
497,26.067
498,13.630
499,19.760
500,27.080
501,25.916
502,26.005
503,27.024
504,20.114
505,13.850
506,33.523
507,13.677
508,26.243
509,19.504
510,19.542
511,27.058
512,13.624
513,20.448
514,19.511
515,32.717
516,19.774
517,26.791
518,19.845
519,26.285
520,19.609
521,19.797
522,13.634
523,20.428
524,20.172
525,20.126
526,19.793
527,19.784
528,20.356
529,19.497
530,13.734
531,20.122
532,13.809
533,13.714
534,25.951
535,13.701
536,20.150
537,20.373
538,26.232
539,26.662
540,19.770
541,26.004
542,13.790
543,26.308
544,20.334
545,19.811
546,26.319
547,19.530
548,25.977
549,25.883
550,19.722
551,26.740
552,13.817
553,25.963
554,20.132
555,19.766
556,20.099
557,20.048
558,20.406
559,20.400
560,26.288
561,20.201
562,20.106
563,19.795
564,20.212
565,13.736
566,20.119
567,20.212
568,19.658
569,13.872
570,13.632
571,20.193
572,21.752
573,14.131
574,20.728
575,27.099
576,20.958
577,20.651
578,20.596
579,27.040
580,20.616
581,20.697
582,20.875
583,27.026
584,27.101
585,20.024
586,26.994
587,20.661
588,20.611
589,19.978
590,20.688
591,19.987
592,20.876
593,20.274
594,20.910
595,20.282
596,20.633
597,14.019
598,20.289
599,19.986
600,19.977
601,27.064
602,14.065
603,27.376
604,26.992
605,20.747
606,27.111
607,27.855
608,20.684
609,33.685
610,20.574
611,34.172
612,20.816
613,27.152
614,20.711
615,27.584
616,20.922
617,33.721
618,27.095
619,27.087
620,20.645
621,20.845
622,26.773
623,20.645
624,27.069
625,20.038
626,20.332
627,19.995
628,20.648
629,20.688
630,20.211
631,27.019
632,27.027
633,20.590
634,20.602
635,20.284
636,20.014
637,20.889
638,26.790
639,20.553
640,27.023
641,27.055
642,20.134
643,20.858
